,code,name,cur_price,volume,high_price,low_price
520015,520015,미래에셋 인버스 미디어엔터 Core5 ETN,-13160,376,-13225,-13160
520026,520026,미래에셋 코스피 양매도 5% OTM ETN,9965,814,9970,9965
520009,520009,미래에셋 레버리지 원유선물혼합 ETN(H),22205,794,22210,22000
520010,520010,미래에셋 원유선물혼합 ETN(H),24270,2,24270,24270
520011,520011,미래에셋 인버스 원유선물혼합 ETN(H),-13065,25,-13065,-13065
520020,520020,미래에셋 미국 시니어론 100 ETN(H),10335,1,10335,10335
520021,520021,미래에셋 미국 시니어론 100 ETN,-10370,0,0,0
520025,520025,미래에셋 S&P500 VIX S/T 선물 ETN,-16345,1510,-16350,-16155
520024,520024,미래에셋 차이나 대표주 15 ETN(H) B,-8985,572,-8985,-8880
520012,520012,미래에셋 호주 ASX200 ETN(H),11800,1,11800,11800
520003,520003,미래에셋 원자재 선물 ETN(H),9055,0,0,0
530003,530003,삼성 모멘텀 탑픽 ETN,5350,31,5350,5350
530004,530004,삼성 화장품 테마주 ETN,5020,685,5070,5020
530005,530005,삼성 바이오 테마주 ETN,13030,26,13030,12980
530006,530006,삼성 음식료 테마주 ETN,-5735,0,0,0
530007,530007,삼성 레저 테마주 ETN,7995,0,0,0
530008,530008,삼성 미디어 테마주 ETN,9125,250,9125,9125
530009,530009,삼성 증권 테마주 ETN,8800,2300,8800,8765
530010,530010,삼성 건축자재 테마주 ETN,3580,0,0,0
530011,530011,삼성 온라인쇼핑 테마주 ETN,8950,120,8975,8930
530012,530012,삼성 화학 테마주 ETN,13150,6,13150,13085
530013,530013,삼성 KTOP30 ETN,11395,109206,11430,11380
530046,530046,삼성 KQ150 Call 1903-01 ETN,9295,0,0,0
530047,530047,삼성 KQ150 Call 1903-02 ETN,9295,0,0,0
530048,530048,삼성 K200 Call 1903-01 ETN,9375,24,9375,9375
530049,530049,삼성 K200 Call 1903-02 ETN,9360,0,0,0
530050,530050,삼성 K200 Put 1903-01 ETN,-10300,0,0,0
530051,530051,삼성 K200 Put 1903-02 ETN,-9605,0,0,0
530057,530057,삼성 K200 Call 1908-01 ETN,9960,0,0,0
530058,530058,삼성 K200 Call 1908-02 ETN,9500,0,0,0
530059,530059,삼성 K200 Put 1908-01 ETN,-9730,0,0,0
530053,530053,삼성 코스피 풋매도 ETN,10165,14329,10175,10150
530060,530060,삼성 코스피 양매도 5% OTM ETN,9970,12919,9970,9960
530015,530015,삼성 미국 대형 성장주 ETN(H),13520,463,13520,13470
530016,530016,삼성 미국 대형 가치주 ETN(H),12745,479,12775,12745
530017,530017,삼성 미국 중소형 성장주 ETN(H),12830,0,0,0
530018,530018,삼성 미국 중소형 가치주 ETN(H),12410,0,0,0
530019,530019,삼성 미국 대형 성장주 ETN,13175,548,13200,13175
530020,530020,삼성 미국 대형 가치주 ETN,12490,7,12490,12490
530021,530021,삼성 미국 중소형 성장주 ETN,12510,0,0,0
530022,530022,삼성 미국 중소형 가치주 ETN,12100,0,0,0
530032,530032,삼성 Cushing 에너지인프라 MLP ETN,9115,2,9115,9115
530033,530033,삼성 Alerian 에너지인프라 MLP ETN,9190,2,9190,9190
530031,530031,삼성 레버리지 WTI원유 선물 ETN,14925,60115,14980,14815
530036,530036,삼성 인버스 2X WTI원유 선물 ETN,-5120,82923,-5150,-5080
530037,530037,삼성 레버리지 천연가스 선물 ETN,13260,121218,13285,12880
530038,530038,삼성 인버스 2X 천연가스 선물 ETN,-9350,12642,-9545,-9295
530055,530055,삼성 레버리지 금 선물 ETN(H),20175,3849,20225,20100
530056,530056,삼성 인버스 2X 금 선물 ETN(H),-19600,69,-19700,-19600
530061,530061,삼성 레버리지 은 선물 ETN(H),11395,16,11395,11375
530062,530062,삼성 인버스 2X 은 선물 ETN(H),-8640,59,-8665,-8610
