,code,name,cur_price,volume,high_price,low_price
114800,114800,KODEX 인버스,6695,9732448,6720,6630
114820,114820,TIGER 국채3년,110020,596,110040,110000
115390,115390,락앤락,-19350,118910,-19700,-19150
117460,117460,KODEX 에너지화학,-12050,908,-12100,-12005
117580,117580,대성에너지,5380,4462,5380,-5360
117680,117680,KODEX 철강,-8000,3041,-8080,-7980
117690,117690,TIGER 차이나항셍25,-16550,241,16810,-16550
117700,117700,KODEX 건설,-3385,104488,3400,-3355
118000,118000,우리들휴브레인,-2865,188160,2960,-2830
119650,119650,KC코트렐,-5150,232402,5570,-5100
120030,120030,조선선재,-92100,3019,-93900,-91400
120110,120110,코오롱인더,-59600,96646,60600,-59500
120115,120115,코오롱인더우,-25000,3855,25300,-24800
122090,122090,ARIRANG 코스피50,-19305,224,-19505,-19230
122260,122260,KOSEF 통안채1년,101110,32680,101110,-101100
122630,122630,KODEX 레버리지,-13400,15706219,-13645,-13300
122900,122900,아이마켓코리아,8750,158887,8900,-8520
123310,123310,TIGER 인버스,7255,295566,7275,7185
123320,123320,TIGER 레버리지,-12405,60592,-12650,-12320
123690,123690,한국화장품,12500,689024,12800,-12000
123700,123700,SJM,3335,12506,3345,-3230
123890,123890,한국자산신탁,4415,30987,4420,-4375
126560,126560,현대에이치씨엔,4280,94182,4380,4240
128820,128820,대성산업,5240,76375,5260,-5120
128940,128940,한미약품,-460000,22223,-465000,-457500
129260,129260,인터지스,-2780,130633,2895,-2765
130660,130660,한전산업,4135,79090,4150,-4020
130680,130680,TIGER 원유선물Enhanced(H),4095,148802,4115,4080
130730,130730,KOSEF 단기자금,101015,35084,101015,-101005
131890,131890,KINDEX 삼성그룹동일가중,-14000,22,14060,-13940
132030,132030,KODEX 골드선물(H),9550,48313,9555,9535
133690,133690,TIGER 미국나스닥100,-35300,6204,35515,-35265
133820,133820,화인베스틸,3250,399907,3340,-3200
134380,134380,미원화학,41050,620,41100,-40450
134790,134790,시디즈,38700,3708,39450,-38100
136340,136340,KBSTAR 중기우량회사채,103510,89,103535,-103440
136490,136490,선진,-11400,29800,11650,-11350
137610,137610,TIGER 농산물선물Enhanced(H),-4915,13762,-4930,-4870
137930,137930,마이다스 200커버드콜5%OTM,-12420,0,0,0
138040,138040,메리츠금융지주,12550,39318,12550,-12350
138230,138230,KOSEF 미국달러선물,11725,15185,11735,11705
138250,138250,엔에스쇼핑,-13200,14849,13250,-13000
138490,138490,코오롱플라스틱,6580,33063,6620,-6530
138520,138520,TIGER 삼성그룹펀더멘털,-9330,3774,-9385,-9280
138530,138530,TIGER LG그룹+펀더멘털,-7805,55,7810,-7740
138540,138540,TIGER 현대차그룹+펀더멘털,-17120,176,17285,-17120
138910,138910,KODEX 구리선물(H),-5495,326,5530,-5490
138920,138920,KODEX 콩선물(H),-8790,9141,-8795,-8750
138930,138930,BNK금융지주,-7340,678298,7400,-7240
139130,139130,DGB금융지주,8790,324256,8860,8770
139220,139220,TIGER 200 건설,3020,13862,3035,-3000
139230,139230,TIGER 200 중공업,3320,79527,3345,-3285
139240,139240,TIGER 200 철강소재,-8385,2140,-8455,-8370
139250,139250,TIGER 200 에너지화학,-14000,9721,14070,-13950
139260,139260,TIGER 200 IT,-21385,108055,-21735,-21305
139270,139270,TIGER 200 금융,-7615,240,-7635,-7600
139280,139280,TIGER 경기방어,-11455,23382,-11475,-11380
139290,139290,TIGER 200 경기소비재,14255,583,14255,-14205
139310,139310,TIGER 금속선물(H),-5080,126,-5110,-5080
139320,139320,TIGER 금은선물(H),7500,1173,7510,7480
139480,139480,이마트,-177000,143215,-180000,-176000
139660,139660,KOSEF 미국달러선물인버스,-10905,1874,-10920,-10905
140570,140570,KBSTAR 수출주,-9190,20,9235,-9165
140580,140580,KBSTAR 우량업종,-10970,24,11065,-10945
140700,140700,KODEX 보험,-8315,1120,-8375,-8315
140710,140710,KODEX 운송,-3040,6848,3065,-3030
140890,140890,트러스제7호,3080,1,3080,3080
140910,140910,에이리츠,5720,57752,5830,5700
140950,140950,파워 코스피100,-22210,47,-22400,-22120
